cuda_device : 4
eos_m_token : EOS_M
beam_len_bonus : 0.5
mode : train
m : TSD
prev_z_method : separate
dataset : usr
seed : 0
vocab_size : 8000
embedding_size : 50
hidden_size : 50
lr : 0.003
lr_decay : 0.5
layer_num : 1
z_length : 16
max_ts : 50
early_stop_count : 5
cuda : True
degree_size : 1
split : (1, 1, 0)
root_dir : /Users/ahmedlokma/Desktop/user-simulator-master/sequicity_user
model_path : /Users/ahmedlokma/Desktop/user-simulator-master/sequicity_user/models/Guc.pkl
result_path : /Users/ahmedlokma/Desktop/user-simulator-master/sequicity_user/results/Guc2 copy.csv
vocab_path : /Users/ahmedlokma/Desktop/user-simulator-master/sequicity_user/vocab/vocab-Guc2.pkl
data : /Users/ahmedlokma/Desktop/user-simulator-master/data/multiwoz-master/data/multi-woz/Guc_Dataset_Dialogue_act22.json
entity : /Users/ahmedlokma/Desktop/user-simulator-master/data/multiwoz-master/data/multi-woz/Guc_Dataset_Entity_Sorted22.json
db : /Users/ahmedlokma/Desktop/user-simulator-master/data/multiwoz-master/data/multi-woz/Guc_Dataset22.json
glove_path : ../sequicity/data/glove/glove.6B.50d.txt
batch_size : 32
dropout_rate : 0.5
epoch_num : 100
rl_epoch_num : 1
spv_proportion : 100
new_vocab : True
teacher_force : 100
beam_search : False
beam_size : 10
sampling : False
use_positional_embedding : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False
START_CSV_SECTION
dial_id,turn_num,user,generated_bspan,bspan,generated_response,response,u_len,m_len,supervised
54,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,achieve good grades <unk> <unk>,,how to achieve good grades ?,2,7,True
37,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,internships <unk> <unk>,,what is the internships duration needed from an appiled arts student ?,2,13,True
70,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,absences i get in summer <unk> <unk>,,how many absences i get in summer ?,2,9,True
5,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,cv <unk> <unk>,,how does a good cv look like ?,2,9,True
25,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,gpa grade calculated <unk> <unk>,,how is the gpa grade calculated ?,2,8,True
87,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,summer semester duration <unk> <unk>,,what is the the summer semester duration ?,2,9,True
49,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,studying for midterms <unk> <unk>,,i need assistance studying for midterms ?,2,8,True
46,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,study for midterms <unk> <unk>,,how to study for midterms ?,2,7,True
12,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,copy <unk> <unk>,,can i copy a project solution from an online resource ?,2,12,True
48,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,studying for finals <unk> <unk>,,i need help studying for finals ?,2,8,True
7,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,side projects <unk> <unk>,,is it important to have side projects ?,2,9,True
1,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,cv <unk> <unk>,,how to make my cv ?,2,7,True
89,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,apply for berlin semester abroad <unk> <unk>,,where to apply for berlin semester abroad ?,2,9,True
43,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,submit the internship report <unk> <unk>,,where to submit the internship report ?,2,8,True
38,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,internships <unk> <unk>,,what is the internships duration needed from a pharmacy student ?,2,12,True
65,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,probation <unk> <unk>,,what is probation ?,2,5,True
40,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,completing an internship <unk> <unk>,,what to do after completing an internship ?,2,9,True
36,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,internships <unk> <unk>,,what is the internships duration needed from an met student ?,2,12,True
83,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,grading in summer different <unk> <unk>,,is grading in summer different ?,2,7,True
64,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,tips to leave probation <unk> <unk>,,ant tips to leave probation ?,2,7,True
44,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,submit the internship report <unk> <unk>,,how to fill out and submit the internship report ?,2,11,True
9,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,free time <unk> <unk>,,how to make value of my free time ?,2,10,True
61,0,<unk>,<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,get out of probation <unk> <unk>,,help me get out of probation ?,2,8,True
